airline,departure_time,arrival_time,duration,stops,price,price_text,departure_date,return_date,origin,destination
THAI,10:10 PM,6:20 AM+1,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-07-15,2026-07-22,BKK,NRT
THAI,11:50 PM,8:10 AM+1,6 hr 20 min,Nonstop,16341.0,"THB 16,341",2026-07-15,2026-07-22,BKK,NRT
JAL,8:05 AM,4:15 PM,6 hr 10 min,Nonstop,18100.0,"THB 18,100",2026-07-15,2026-07-22,BKK,NRT
Thai Vietjet Air,11:35 PM,7:55 AM+1,6 hr 20 min,Nonstop,29140.0,"THB 29,140",2026-07-15,2026-07-22,BKK,NRT
ZIPAIR Tokyo,11:10 PM,7:30 AM+1,6 hr 20 min,Nonstop,12029.0,"THB 12,029",2026-08-15,2026-08-22,BKK,NRT
THAI,10:10 PM,6:20 AM+1,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-08-15,2026-08-22,BKK,NRT
THAI,11:50 PM,8:10 AM+1,6 hr 20 min,Nonstop,16341.0,"THB 16,341",2026-08-15,2026-08-22,BKK,NRT
ANA,7:00 AM,3:20 PM,6 hr 20 min,Nonstop,19220.0,"THB 19,220",2026-08-15,2026-08-22,BKK,NRT
JAL,8:05 AM,4:15 PM,6 hr 10 min,Nonstop,19600.0,"THB 19,600",2026-08-15,2026-08-22,BKK,NRT
China Southern,8:20 PM,1:30 PM+1,15 hr 10 min,1 stop,12770.0,"THB 12,770",2026-08-15,2026-08-22,BKK,NRT
China Southern,3:00 AM,1:30 PM,8 hr 30 min,1 stop,13725.0,"THB 13,725",2026-08-15,2026-08-22,BKK,NRT
China Airlines,2:40 AM,1:15 PM,8 hr 35 min,1 stop,16695.0,"THB 16,695",2026-08-15,2026-08-22,BKK,NRT
THAI,7:35 AM,3:45 PM,6 hr 10 min,Nonstop,20721.0,"THB 20,721",2026-08-15,2026-08-22,BKK,NRT
Thai Vietjet Air,11:35 PM,7:55 AM+1,6 hr 20 min,Nonstop,29140.0,"THB 29,140",2026-08-15,2026-08-22,BKK,NRT
ZIPAIR Tokyo,11:10 PM,7:30 AM+1,6 hr 20 min,Nonstop,12029.0,"THB 12,029",2026-08-15,2026-08-22,BKK,NRT
THAI,10:10 PM,6:20 AM+1,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-08-15,2026-08-22,BKK,NRT
THAI,11:50 PM,8:10 AM+1,6 hr 20 min,Nonstop,16341.0,"THB 16,341",2026-08-15,2026-08-22,BKK,NRT
ANA,7:00 AM,3:20 PM,6 hr 20 min,Nonstop,19220.0,"THB 19,220",2026-08-15,2026-08-22,BKK,NRT
JAL,8:05 AM,4:15 PM,6 hr 10 min,Nonstop,19600.0,"THB 19,600",2026-08-15,2026-08-22,BKK,NRT
